Country,ds,final_prediction
Jamaica,1986-01-01,
Jordan,1986-01-01,
Kazakhstan,1986-01-01,
Kosovo,1986-01-01,
Kuwait,1986-01-01,
Kyrgyzstan,1986-01-01,
Lebanon,1986-01-01,
Malaysia,1986-01-01,
Mauritius,1986-01-01,
Mayotte,1986-01-01,
Mexico,1986-01-01,
Micronesia (country),1986-01-01,
Moldova,1986-01-01,
Montserrat,1986-01-01,
New Caledonia,1986-01-01,
Niue,1986-01-01,
North Korea,1986-01-01,
North Macedonia,1986-01-01,
Palestine,1986-01-01,
Panama,1986-01-01,
Paraguay,1986-01-01,
Peru,1986-01-01,
Philippines,1986-01-01,
Qatar,1986-01-01,
Reunion,1986-01-01,
Russia,1986-01-01,
Saint Kitts and Nevis,1986-01-01,
Saint Lucia,1986-01-01,
Saint Vincent and the Grenadines,1986-01-01,
Samoa,1986-01-01,
Saudi Arabia,1986-01-01,
Seychelles,1986-01-01,
South Korea,1986-01-01,
Sri Lanka,1986-01-01,
Suriname,1986-01-01,
Syria,1986-01-01,
Thailand,1986-01-01,
Tokelau,1986-01-01,
Tonga,1986-01-01,
Trinidad and Tobago,1986-01-01,
Tunisia,1986-01-01,
Turkey,1986-01-01,
Turkmenistan,1986-01-01,
Turks and Caicos Islands,1986-01-01,
United Arab Emirates,1986-01-01,
Uzbekistan,1986-01-01,
Vanuatu,1986-01-01,
Venezuela,1986-01-01,
Vietnam,1986-01-01,
Wallis and Futuna,1986-01-01,
Albania,1987-01-01,
Anguilla,1987-01-01,
Armenia,1987-01-01,
Azerbaijan,1987-01-01,
Bahamas,1987-01-01,
Bahrain,1987-01-01,
Belize,1987-01-01,
Bosnia and Herzegovina,1987-01-01,
Brazil,1987-01-01,
British Virgin Islands,1987-01-01,
Brunei,1987-01-01,
Cape Verde,1987-01-01,
Cayman Islands,1987-01-01,
Chile,1987-01-01,
China,1987-01-01,
Colombia,1987-01-01,
Cook Islands,1987-01-01,
Dominica,1987-01-01,
Dominican Republic,1987-01-01,
Ecuador,1987-01-01,
Falkland Islands,1987-01-01,
Fiji,1987-01-01,
French Guiana,1987-01-01,
French Polynesia,1987-01-01,
Georgia,1987-01-01,
Greenland,1987-01-01,
Grenada,1987-01-01,
Guadeloupe,1987-01-01,
Guam,1987-01-01,
Guyana,1987-01-01,
Jamaica,1987-01-01,
Jordan,1987-01-01,
Kazakhstan,1987-01-01,
Kosovo,1987-01-01,
Kuwait,1987-01-01,
Kyrgyzstan,1987-01-01,
Lebanon,1987-01-01,
Malaysia,1987-01-01,
Mauritius,1987-01-01,
Mayotte,1987-01-01,
Mexico,1987-01-01,
Micronesia (country),1987-01-01,
Moldova,1987-01-01,
Montserrat,1987-01-01,
New Caledonia,1987-01-01,
Niue,1987-01-01,
North Korea,1987-01-01,
North Macedonia,1987-01-01,
Palestine,1987-01-01,
Panama,1987-01-01,
Paraguay,1987-01-01,
Peru,1987-01-01,
Philippines,1987-01-01,
Qatar,1987-01-01,
Reunion,1987-01-01,
Russia,1987-01-01,
Saint Kitts and Nevis,1987-01-01,
Saint Lucia,1987-01-01,
Saint Vincent and the Grenadines,1987-01-01,
Samoa,1987-01-01,
Saudi Arabia,1987-01-01,
Seychelles,1987-01-01,
South Korea,1987-01-01,
Sri Lanka,1987-01-01,
Suriname,1987-01-01,
Syria,1987-01-01,
Thailand,1987-01-01,
Tokelau,1987-01-01,
Tonga,1987-01-01,
Trinidad and Tobago,1987-01-01,
Tunisia,1987-01-01,
Turkey,1987-01-01,
Turkmenistan,1987-01-01,
Turks and Caicos Islands,1987-01-01,
United Arab Emirates,1987-01-01,
Uzbekistan,1987-01-01,
Vanuatu,1987-01-01,
Venezuela,1987-01-01,
Vietnam,1987-01-01,
Wallis and Futuna,1987-01-01,
Albania,1988-01-01,
Anguilla,1988-01-01,
Armenia,1988-01-01,
Azerbaijan,1988-01-01,
Bahamas,1988-01-01,
Bahrain,1988-01-01,
Belize,1988-01-01,
Bosnia and Herzegovina,1988-01-01,
Brazil,1988-01-01,
British Virgin Islands,1988-01-01,
Brunei,1988-01-01,
Cape Verde,1988-01-01,
Cayman Islands,1988-01-01,
Chile,1988-01-01,
China,1988-01-01,
Colombia,1988-01-01,
Cook Islands,1988-01-01,
Dominica,1988-01-01,
Dominican Republic,1988-01-01,
Ecuador,1988-01-01,
Falkland Islands,1988-01-01,
Fiji,1988-01-01,
French Guiana,1988-01-01,
French Polynesia,1988-01-01,
Georgia,1988-01-01,
Greenland,1988-01-01,
Grenada,1988-01-01,
Guadeloupe,1988-01-01,
Guam,1988-01-01,
Guyana,1988-01-01,
Jamaica,1988-01-01,
Jordan,1988-01-01,
Kazakhstan,1988-01-01,
Kosovo,1988-01-01,
Kuwait,1988-01-01,
Kyrgyzstan,1988-01-01,
Lebanon,1988-01-01,
Malaysia,1988-01-01,
Mauritius,1988-01-01,
Mayotte,1988-01-01,
Mexico,1988-01-01,
Micronesia (country),1988-01-01,
Moldova,1988-01-01,
Montserrat,1988-01-01,
New Caledonia,1988-01-01,
Niue,1988-01-01,
North Korea,1988-01-01,
North Macedonia,1988-01-01,
Palestine,1988-01-01,
Panama,1988-01-01,
Paraguay,1988-01-01,
Peru,1988-01-01,
Philippines,1988-01-01,
Qatar,1988-01-01,
Reunion,1988-01-01,
Russia,1988-01-01,
Saint Kitts and Nevis,1988-01-01,
Saint Lucia,1988-01-01,
Saint Vincent and the Grenadines,1988-01-01,
Samoa,1988-01-01,
Saudi Arabia,1988-01-01,
Seychelles,1988-01-01,
South Korea,1988-01-01,
Sri Lanka,1988-01-01,
Suriname,1988-01-01,
Syria,1988-01-01,
Thailand,1988-01-01,
Tokelau,1988-01-01,
Tonga,1988-01-01,
Trinidad and Tobago,1988-01-01,
Tunisia,1988-01-01,
Turkey,1988-01-01,
Turkmenistan,1988-01-01,
Turks and Caicos Islands,1988-01-01,
United Arab Emirates,1988-01-01,
Uzbekistan,1988-01-01,
Vanuatu,1988-01-01,
Venezuela,1988-01-01,
Vietnam,1988-01-01,
Wallis and Futuna,1988-01-01,
Albania,1989-01-01,
Anguilla,1989-01-01,
Armenia,1989-01-01,
Azerbaijan,1989-01-01,
Bahamas,1989-01-01,
Bahrain,1989-01-01,
Belize,1989-01-01,
Bosnia and Herzegovina,1989-01-01,
Brazil,1989-01-01,
British Virgin Islands,1989-01-01,
Brunei,1989-01-01,
Cape Verde,1989-01-01,
Cayman Islands,1989-01-01,
Chile,1989-01-01,
China,1989-01-01,
Colombia,1989-01-01,
Cook Islands,1989-01-01,
Dominica,1989-01-01,
Dominican Republic,1989-01-01,
Ecuador,1989-01-01,
Falkland Islands,1989-01-01,
Fiji,1989-01-01,
French Guiana,1989-01-01,
French Polynesia,1989-01-01,
Georgia,1989-01-01,
Greenland,1989-01-01,
Grenada,1989-01-01,
Guadeloupe,1989-01-01,
Guam,1989-01-01,
Guyana,1989-01-01,
Jamaica,1989-01-01,
Jordan,1989-01-01,
Kazakhstan,1989-01-01,
Kosovo,1989-01-01,
Kuwait,1989-01-01,
Kyrgyzstan,1989-01-01,
Lebanon,1989-01-01,
Malaysia,1989-01-01,
Mauritius,1989-01-01,
Mayotte,1989-01-01,
Mexico,1989-01-01,
Micronesia (country),1989-01-01,
Moldova,1989-01-01,
Montserrat,1989-01-01,
New Caledonia,1989-01-01,
Niue,1989-01-01,
North Korea,1989-01-01,
North Macedonia,1989-01-01,
Palestine,1989-01-01,
Panama,1989-01-01,
Paraguay,1989-01-01,
Peru,1989-01-01,
Philippines,1989-01-01,
Qatar,1989-01-01,
Reunion,1989-01-01,
Russia,1989-01-01,
Saint Kitts and Nevis,1989-01-01,
Saint Lucia,1989-01-01,
Saint Vincent and the Grenadines,1989-01-01,
Samoa,1989-01-01,
Saudi Arabia,1989-01-01,
Seychelles,1989-01-01,
South Korea,1989-01-01,
Sri Lanka,1989-01-01,
Suriname,1989-01-01,
Syria,1989-01-01,
Thailand,1989-01-01,
Tokelau,1989-01-01,
Tonga,1989-01-01,
Trinidad and Tobago,1989-01-01,
Tunisia,1989-01-01,
Turkey,1989-01-01,
Turkmenistan,1989-01-01,
Turks and Caicos Islands,1989-01-01,
United Arab Emirates,1989-01-01,
Uzbekistan,1989-01-01,
Vanuatu,1989-01-01,
Venezuela,1989-01-01,
Vietnam,1989-01-01,
Wallis and Futuna,1989-01-01,
Albania,1990-01-01,
Anguilla,1990-01-01,
Armenia,1990-01-01,
Azerbaijan,1990-01-01,
Bahamas,1990-01-01,
Bahrain,1990-01-01,
Belize,1990-01-01,
Bosnia and Herzegovina,1990-01-01,
Brazil,1990-01-01,
British Virgin Islands,1990-01-01,
Brunei,1990-01-01,
Cape Verde,1990-01-01,
Cayman Islands,1990-01-01,
Chile,1990-01-01,
China,1990-01-01,
Colombia,1990-01-01,
Cook Islands,1990-01-01,
Dominica,1990-01-01,
Dominican Republic,1990-01-01,
Ecuador,1990-01-01,
Falkland Islands,1990-01-01,
Fiji,1990-01-01,
French Guiana,1990-01-01,
French Polynesia,1990-01-01,
Georgia,1990-01-01,
Greenland,1990-01-01,
Grenada,1990-01-01,
Guadeloupe,1990-01-01,
Guam,1990-01-01,
Guyana,1990-01-01,
Jamaica,1990-01-01,
Jordan,1990-01-01,
Kazakhstan,1990-01-01,
Kosovo,1990-01-01,
Kuwait,1990-01-01,
Kyrgyzstan,1990-01-01,
Lebanon,1990-01-01,
Malaysia,1990-01-01,
Mauritius,1990-01-01,
Mayotte,1990-01-01,
Mexico,1990-01-01,
Micronesia (country),1990-01-01,
Moldova,1990-01-01,
Montserrat,1990-01-01,
New Caledonia,1990-01-01,
Niue,1990-01-01,
North Korea,1990-01-01,
North Macedonia,1990-01-01,
Palestine,1990-01-01,
Panama,1990-01-01,
Paraguay,1990-01-01,
Peru,1990-01-01,
Philippines,1990-01-01,
Qatar,1990-01-01,
Reunion,1990-01-01,
Russia,1990-01-01,
Saint Kitts and Nevis,1990-01-01,
Saint Lucia,1990-01-01,
Saint Vincent and the Grenadines,1990-01-01,
Samoa,1990-01-01,
Saudi Arabia,1990-01-01,
Seychelles,1990-01-01,
South Korea,1990-01-01,
Sri Lanka,1990-01-01,
Suriname,1990-01-01,
Syria,1990-01-01,
Thailand,1990-01-01,
Tokelau,1990-01-01,
Tonga,1990-01-01,
Trinidad and Tobago,1990-01-01,
Tunisia,1990-01-01,
Turkey,1990-01-01,
Turkmenistan,1990-01-01,
Turks and Caicos Islands,1990-01-01,
United Arab Emirates,1990-01-01,
Uzbekistan,1990-01-01,
Vanuatu,1990-01-01,
Venezuela,1990-01-01,
Vietnam,1990-01-01,
Wallis and Futuna,1990-01-01,
Albania,1991-01-01,
Anguilla,1991-01-01,
Armenia,1991-01-01,
Azerbaijan,1991-01-01,
Bahamas,1991-01-01,
Bahrain,1991-01-01,
Belize,1991-01-01,
Bosnia and Herzegovina,1991-01-01,
Brazil,1991-01-01,
British Virgin Islands,1991-01-01,
Brunei,1991-01-01,
Cape Verde,1991-01-01,
Cayman Islands,1991-01-01,
Chile,1991-01-01,
China,1991-01-01,
Colombia,1991-01-01,
Cook Islands,1991-01-01,
Dominica,1991-01-01,
Dominican Republic,1991-01-01,
Ecuador,1991-01-01,
Falkland Islands,1991-01-01,
Fiji,1991-01-01,
French Guiana,1991-01-01,
French Polynesia,1991-01-01,
Georgia,1991-01-01,
Greenland,1991-01-01,
Grenada,1991-01-01,
Guadeloupe,1991-01-01,
Guam,1991-01-01,
Guyana,1991-01-01,
Jamaica,1991-01-01,
Jordan,1991-01-01,
Kazakhstan,1991-01-01,
Kosovo,1991-01-01,
Kuwait,1991-01-01,
Kyrgyzstan,1991-01-01,
Lebanon,1991-01-01,
Malaysia,1991-01-01,
Mauritius,1991-01-01,
Mayotte,1991-01-01,
Mexico,1991-01-01,
Micronesia (country),1991-01-01,
Moldova,1991-01-01,
Montserrat,1991-01-01,
New Caledonia,1991-01-01,
Niue,1991-01-01,
North Korea,1991-01-01,
North Macedonia,1991-01-01,
Palestine,1991-01-01,
Panama,1991-01-01,
Paraguay,1991-01-01,
Peru,1991-01-01,
Philippines,1991-01-01,
Qatar,1991-01-01,
Reunion,1991-01-01,
Russia,1991-01-01,
Saint Kitts and Nevis,1991-01-01,
Saint Lucia,1991-01-01,
Saint Vincent and the Grenadines,1991-01-01,
Samoa,1991-01-01,
Saudi Arabia,1991-01-01,
Seychelles,1991-01-01,
South Korea,1991-01-01,
Sri Lanka,1991-01-01,
Suriname,1991-01-01,
Syria,1991-01-01,
Thailand,1991-01-01,
Tokelau,1991-01-01,
Tonga,1991-01-01,
Trinidad and Tobago,1991-01-01,
Tunisia,1991-01-01,
Turkey,1991-01-01,
Turkmenistan,1991-01-01,
Turks and Caicos Islands,1991-01-01,
United Arab Emirates,1991-01-01,
Uzbekistan,1991-01-01,
Vanuatu,1991-01-01,
Venezuela,1991-01-01,
Vietnam,1991-01-01,
Wallis and Futuna,1991-01-01,
Albania,1992-01-01,
Anguilla,1992-01-01,
Armenia,1992-01-01,
Azerbaijan,1992-01-01,
Bahamas,1992-01-01,
Bahrain,1992-01-01,
Belize,1992-01-01,
Bosnia and Herzegovina,1992-01-01,
Brazil,1992-01-01,
British Virgin Islands,1992-01-01,
Brunei,1992-01-01,
Cape Verde,1992-01-01,
Cayman Islands,1992-01-01,
Chile,1992-01-01,
China,1992-01-01,
Colombia,1992-01-01,
Cook Islands,1992-01-01,
Dominica,1992-01-01,
Dominican Republic,1992-01-01,
Ecuador,1992-01-01,
Falkland Islands,1992-01-01,
Fiji,1992-01-01,
French Guiana,1992-01-01,
French Polynesia,1992-01-01,
Georgia,1992-01-01,
Greenland,1992-01-01,
Grenada,1992-01-01,
Guadeloupe,1992-01-01,
Guam,1992-01-01,
Guyana,1992-01-01,
Jamaica,1992-01-01,
Jordan,1992-01-01,
Kazakhstan,1992-01-01,
Kosovo,1992-01-01,
Kuwait,1992-01-01,
Kyrgyzstan,1992-01-01,
Lebanon,1992-01-01,
Malaysia,1992-01-01,
Mauritius,1992-01-01,
Mayotte,1992-01-01,
Mexico,1992-01-01,
Micronesia (country),1992-01-01,
Moldova,1992-01-01,
Montserrat,1992-01-01,
New Caledonia,1992-01-01,
Niue,1992-01-01,
North Korea,1992-01-01,
North Macedonia,1992-01-01,
Palestine,1992-01-01,
Panama,1992-01-01,
Paraguay,1992-01-01,
Peru,1992-01-01,
Philippines,1992-01-01,
Qatar,1992-01-01,
Reunion,1992-01-01,
Russia,1992-01-01,
Saint Kitts and Nevis,1992-01-01,
Saint Lucia,1992-01-01,
Saint Vincent and the Grenadines,1992-01-01,
Samoa,1992-01-01,
Saudi Arabia,1992-01-01,
Seychelles,1992-01-01,
South Korea,1992-01-01,
Sri Lanka,1992-01-01,
Suriname,1992-01-01,
Syria,1992-01-01,
Thailand,1992-01-01,
Tokelau,1992-01-01,
Tonga,1992-01-01,
Trinidad and Tobago,1992-01-01,
Tunisia,1992-01-01,
Turkey,1992-01-01,
Turkmenistan,1992-01-01,
Turks and Caicos Islands,1992-01-01,
United Arab Emirates,1992-01-01,
Uzbekistan,1992-01-01,
Vanuatu,1992-01-01,
Venezuela,1992-01-01,
Vietnam,1992-01-01,
Wallis and Futuna,1992-01-01,
Albania,1993-01-01,
Anguilla,1993-01-01,
Armenia,1993-01-01,
Azerbaijan,1993-01-01,
Bahamas,1993-01-01,
Bahrain,1993-01-01,
Belize,1993-01-01,
Bosnia and Herzegovina,1993-01-01,
Brazil,1993-01-01,
British Virgin Islands,1993-01-01,
Brunei,1993-01-01,
Cape Verde,1993-01-01,
Cayman Islands,1993-01-01,
Chile,1993-01-01,
China,1993-01-01,
Colombia,1993-01-01,
Cook Islands,1993-01-01,
Dominica,1993-01-01,
Dominican Republic,1993-01-01,
Ecuador,1993-01-01,
Falkland Islands,1993-01-01,
Fiji,1993-01-01,
French Guiana,1993-01-01,
French Polynesia,1993-01-01,
Georgia,1993-01-01,
Greenland,1993-01-01,
Grenada,1993-01-01,
Guadeloupe,1993-01-01,
Guam,1993-01-01,
Guyana,1993-01-01,
Jamaica,1993-01-01,
Jordan,1993-01-01,
Kazakhstan,1993-01-01,
Kosovo,1993-01-01,
Kuwait,1993-01-01,
Kyrgyzstan,1993-01-01,
Lebanon,1993-01-01,
Malaysia,1993-01-01,
Mauritius,1993-01-01,
Mayotte,1993-01-01,
Mexico,1993-01-01,
Micronesia (country),1993-01-01,
Moldova,1993-01-01,
Montserrat,1993-01-01,
New Caledonia,1993-01-01,
Niue,1993-01-01,
North Korea,1993-01-01,
North Macedonia,1993-01-01,
Palestine,1993-01-01,
Panama,1993-01-01,
Paraguay,1993-01-01,
Peru,1993-01-01,
Philippines,1993-01-01,
Qatar,1993-01-01,
Reunion,1993-01-01,
Russia,1993-01-01,
Saint Kitts and Nevis,1993-01-01,
Saint Lucia,1993-01-01,
Saint Vincent and the Grenadines,1993-01-01,
Samoa,1993-01-01,
Saudi Arabia,1993-01-01,
Seychelles,1993-01-01,
South Korea,1993-01-01,
Sri Lanka,1993-01-01,
Suriname,1993-01-01,
Syria,1993-01-01,
Thailand,1993-01-01,
Tokelau,1993-01-01,
Tonga,1993-01-01,
Trinidad and Tobago,1993-01-01,
Tunisia,1993-01-01,
Turkey,1993-01-01,
Turkmenistan,1993-01-01,
Turks and Caicos Islands,1993-01-01,
United Arab Emirates,1993-01-01,
Uzbekistan,1993-01-01,
Vanuatu,1993-01-01,
Venezuela,1993-01-01,
Vietnam,1993-01-01,
Wallis and Futuna,1993-01-01,
Albania,1994-01-01,
Anguilla,1994-01-01,
Armenia,1994-01-01,
Azerbaijan,1994-01-01,
Bahamas,1994-01-01,
Bahrain,1994-01-01,
Belize,1994-01-01,
Bosnia and Herzegovina,1994-01-01,
Brazil,1994-01-01,
British Virgin Islands,1994-01-01,
Brunei,1994-01-01,
Cape Verde,1994-01-01,
Cayman Islands,1994-01-01,
Chile,1994-01-01,
China,1994-01-01,
Colombia,1994-01-01,
Cook Islands,1994-01-01,
Dominica,1994-01-01,
Dominican Republic,1994-01-01,
Ecuador,1994-01-01,
Falkland Islands,1994-01-01,
Fiji,1994-01-01,
French Guiana,1994-01-01,
French Polynesia,1994-01-01,
Georgia,1994-01-01,
Greenland,1994-01-01,
Grenada,1994-01-01,
Guadeloupe,1994-01-01,
Guam,1994-01-01,
Guyana,1994-01-01,
Jamaica,1994-01-01,
Jordan,1994-01-01,
Kazakhstan,1994-01-01,
Kosovo,1994-01-01,
Kuwait,1994-01-01,
Kyrgyzstan,1994-01-01,
Lebanon,1994-01-01,
Malaysia,1994-01-01,
Mauritius,1994-01-01,
Mayotte,1994-01-01,
Mexico,1994-01-01,
Micronesia (country),1994-01-01,
Moldova,1994-01-01,
Montserrat,1994-01-01,
New Caledonia,1994-01-01,
Niue,1994-01-01,
North Korea,1994-01-01,
North Macedonia,1994-01-01,
Palestine,1994-01-01,
Panama,1994-01-01,
Paraguay,1994-01-01,
Peru,1994-01-01,
Philippines,1994-01-01,
Qatar,1994-01-01,
Reunion,1994-01-01,
Russia,1994-01-01,
Saint Kitts and Nevis,1994-01-01,
Saint Lucia,1994-01-01,
Saint Vincent and the Grenadines,1994-01-01,
Samoa,1994-01-01,
Saudi Arabia,1994-01-01,
Seychelles,1994-01-01,
South Korea,1994-01-01,
Sri Lanka,1994-01-01,
Suriname,1994-01-01,
Syria,1994-01-01,
Thailand,1994-01-01,
Tokelau,1994-01-01,
Tonga,1994-01-01,
Trinidad and Tobago,1994-01-01,
Tunisia,1994-01-01,
Turkey,1994-01-01,
Turkmenistan,1994-01-01,
Turks and Caicos Islands,1994-01-01,
United Arab Emirates,1994-01-01,
Uzbekistan,1994-01-01,
Vanuatu,1994-01-01,
Venezuela,1994-01-01,
Vietnam,1994-01-01,
Wallis and Futuna,1994-01-01,
Albania,1995-01-01,
Anguilla,1995-01-01,
Armenia,1995-01-01,
Azerbaijan,1995-01-01,
Bahamas,1995-01-01,
Bahrain,1995-01-01,
Belize,1995-01-01,
Bosnia and Herzegovina,1995-01-01,
Brazil,1995-01-01,
British Virgin Islands,1995-01-01,
Brunei,1995-01-01,
Cape Verde,1995-01-01,
Cayman Islands,1995-01-01,
Chile,1995-01-01,
China,1995-01-01,
Colombia,1995-01-01,
Cook Islands,1995-01-01,
Dominica,1995-01-01,
Dominican Republic,1995-01-01,
Ecuador,1995-01-01,
Falkland Islands,1995-01-01,
Fiji,1995-01-01,
French Guiana,1995-01-01,
French Polynesia,1995-01-01,
Georgia,1995-01-01,
Greenland,1995-01-01,
Grenada,1995-01-01,
Guadeloupe,1995-01-01,
Guam,1995-01-01,
Guyana,1995-01-01,
Jamaica,1995-01-01,
Jordan,1995-01-01,
Kazakhstan,1995-01-01,
Kosovo,1995-01-01,
Kuwait,1995-01-01,
Kyrgyzstan,1995-01-01,
Lebanon,1995-01-01,
Malaysia,1995-01-01,
Mauritius,1995-01-01,
Mayotte,1995-01-01,
Mexico,1995-01-01,
Micronesia (country),1995-01-01,
Moldova,1995-01-01,
Montserrat,1995-01-01,
New Caledonia,1995-01-01,
Niue,1995-01-01,
North Korea,1995-01-01,
North Macedonia,1995-01-01,
Palestine,1995-01-01,
Panama,1995-01-01,
Paraguay,1995-01-01,
Peru,1995-01-01,
Philippines,1995-01-01,
Qatar,1995-01-01,
Reunion,1995-01-01,
Russia,1995-01-01,
Saint Kitts and Nevis,1995-01-01,
Saint Lucia,1995-01-01,
Saint Vincent and the Grenadines,1995-01-01,
Samoa,1995-01-01,
Saudi Arabia,1995-01-01,
Seychelles,1995-01-01,
South Korea,1995-01-01,
Sri Lanka,1995-01-01,
Suriname,1995-01-01,
Syria,1995-01-01,
Thailand,1995-01-01,
Tokelau,1995-01-01,
Tonga,1995-01-01,
Trinidad and Tobago,1995-01-01,
Tunisia,1995-01-01,
Turkey,1995-01-01,
Turkmenistan,1995-01-01,
Turks and Caicos Islands,1995-01-01,
United Arab Emirates,1995-01-01,
Uzbekistan,1995-01-01,
Vanuatu,1995-01-01,
Venezuela,1995-01-01,
Vietnam,1995-01-01,
Wallis and Futuna,1995-01-01,
Albania,1996-01-01,
Anguilla,1996-01-01,
Armenia,1996-01-01,
Azerbaijan,1996-01-01,
Bahamas,1996-01-01,
Bahrain,1996-01-01,
Belize,1996-01-01,
Bosnia and Herzegovina,1996-01-01,
Brazil,1996-01-01,
British Virgin Islands,1996-01-01,
Brunei,1996-01-01,
Cape Verde,1996-01-01,
Cayman Islands,1996-01-01,
Chile,1996-01-01,
China,1996-01-01,
Colombia,1996-01-01,
Cook Islands,1996-01-01,
Dominica,1996-01-01,
Dominican Republic,1996-01-01,
Ecuador,1996-01-01,
Falkland Islands,1996-01-01,
Fiji,1996-01-01,
French Guiana,1996-01-01,
French Polynesia,1996-01-01,
Georgia,1996-01-01,
Greenland,1996-01-01,
Grenada,1996-01-01,
Guadeloupe,1996-01-01,
Guam,1996-01-01,
Guyana,1996-01-01,
Jamaica,1996-01-01,
Jordan,1996-01-01,
Kazakhstan,1996-01-01,
Kosovo,1996-01-01,
Kuwait,1996-01-01,
Kyrgyzstan,1996-01-01,
Lebanon,1996-01-01,
Malaysia,1996-01-01,
Mauritius,1996-01-01,
Mayotte,1996-01-01,
Mexico,1996-01-01,
Micronesia (country),1996-01-01,
Moldova,1996-01-01,
Montserrat,1996-01-01,
New Caledonia,1996-01-01,
Niue,1996-01-01,
North Korea,1996-01-01,
North Macedonia,1996-01-01,
Palestine,1996-01-01,
Panama,1996-01-01,
Paraguay,1996-01-01,
Peru,1996-01-01,
Philippines,1996-01-01,
Qatar,1996-01-01,
Reunion,1996-01-01,
Russia,1996-01-01,
Saint Kitts and Nevis,1996-01-01,
Saint Lucia,1996-01-01,
Saint Vincent and the Grenadines,1996-01-01,
Samoa,1996-01-01,
Saudi Arabia,1996-01-01,
Seychelles,1996-01-01,
South Korea,1996-01-01,
Sri Lanka,1996-01-01,
Suriname,1996-01-01,
Syria,1996-01-01,
Thailand,1996-01-01,
Tokelau,1996-01-01,
Tonga,1996-01-01,
Trinidad and Tobago,1996-01-01,
Tunisia,1996-01-01,
Turkey,1996-01-01,
Turkmenistan,1996-01-01,
Turks and Caicos Islands,1996-01-01,
United Arab Emirates,1996-01-01,
Uzbekistan,1996-01-01,
Vanuatu,1996-01-01,
Venezuela,1996-01-01,
Vietnam,1996-01-01,
Wallis and Futuna,1996-01-01,
Albania,1997-01-01,
Anguilla,1997-01-01,
Armenia,1997-01-01,
Azerbaijan,1997-01-01,
Bahamas,1997-01-01,
Bahrain,1997-01-01,
Belize,1997-01-01,
Bosnia and Herzegovina,1997-01-01,
Brazil,1997-01-01,
British Virgin Islands,1997-01-01,
Brunei,1997-01-01,
Cape Verde,1997-01-01,
Cayman Islands,1997-01-01,
Chile,1997-01-01,
China,1997-01-01,
Colombia,1997-01-01,
Cook Islands,1997-01-01,
Dominica,1997-01-01,
Dominican Republic,1997-01-01,
Ecuador,1997-01-01,
Falkland Islands,1997-01-01,
Fiji,1997-01-01,
French Guiana,1997-01-01,
French Polynesia,1997-01-01,
Georgia,1997-01-01,
Greenland,1997-01-01,
Grenada,1997-01-01,
Guadeloupe,1997-01-01,
Guam,1997-01-01,
Guyana,1997-01-01,
Jamaica,1997-01-01,
Jordan,1997-01-01,
Kazakhstan,1997-01-01,
Kosovo,1997-01-01,
Kuwait,1997-01-01,
Kyrgyzstan,1997-01-01,
Lebanon,1997-01-01,
Malaysia,1997-01-01,
Mauritius,1997-01-01,
Mayotte,1997-01-01,
Mexico,1997-01-01,
Micronesia (country),1997-01-01,
Moldova,1997-01-01,
Montserrat,1997-01-01,
New Caledonia,1997-01-01,
Niue,1997-01-01,
North Korea,1997-01-01,
North Macedonia,1997-01-01,
Palestine,1997-01-01,
Panama,1997-01-01,
Paraguay,1997-01-01,
Peru,1997-01-01,
Philippines,1997-01-01,
Qatar,1997-01-01,
Reunion,1997-01-01,
Russia,1997-01-01,
Saint Kitts and Nevis,1997-01-01,
Saint Lucia,1997-01-01,
Saint Vincent and the Grenadines,1997-01-01,
Samoa,1997-01-01,
Saudi Arabia,1997-01-01,
Seychelles,1997-01-01,
South Korea,1997-01-01,
Sri Lanka,1997-01-01,
Suriname,1997-01-01,
Syria,1997-01-01,
Thailand,1997-01-01,
Tokelau,1997-01-01,
Tonga,1997-01-01,
Trinidad and Tobago,1997-01-01,
Tunisia,1997-01-01,
Turkey,1997-01-01,
Turkmenistan,1997-01-01,
Turks and Caicos Islands,1997-01-01,
United Arab Emirates,1997-01-01,
Uzbekistan,1997-01-01,
Vanuatu,1997-01-01,
Venezuela,1997-01-01,
Vietnam,1997-01-01,
Wallis and Futuna,1997-01-01,
Albania,1998-01-01,
Anguilla,1998-01-01,
Armenia,1998-01-01,
Azerbaijan,1998-01-01,
Bahamas,1998-01-01,
Bahrain,1998-01-01,
Belize,1998-01-01,
Bosnia and Herzegovina,1998-01-01,
Brazil,1998-01-01,
British Virgin Islands,1998-01-01,
Brunei,1998-01-01,
Cape Verde,1998-01-01,
Cayman Islands,1998-01-01,
Chile,1998-01-01,
China,1998-01-01,
Colombia,1998-01-01,
Cook Islands,1998-01-01,
Dominica,1998-01-01,
Dominican Republic,1998-01-01,
Ecuador,1998-01-01,
Falkland Islands,1998-01-01,
Fiji,1998-01-01,
French Guiana,1998-01-01,
French Polynesia,1998-01-01,
Georgia,1998-01-01,
Greenland,1998-01-01,
Grenada,1998-01-01,
Guadeloupe,1998-01-01,
Guam,1998-01-01,
Guyana,1998-01-01,
Jamaica,1998-01-01,
Jordan,1998-01-01,
Kazakhstan,1998-01-01,
Kosovo,1998-01-01,
Kuwait,1998-01-01,
Kyrgyzstan,1998-01-01,
Lebanon,1998-01-01,
Malaysia,1998-01-01,
Mauritius,1998-01-01,
Mayotte,1998-01-01,
